City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
262,muravlenko,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
263,canon city,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
264,shindand,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
265,fortaleza,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
266,sao joao da barra,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
267,soe,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
268,kavieng,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
269,kingscliff,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
270,hasaki,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
271,ust'-kulom,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
272,savastepe,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
273,snihurivka,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
274,san martin,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
275,borisoglebskiy,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
276,krasnogorskoye,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
277,giridih,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
278,noosa heads,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
279,vadso,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
280,dara,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
281,kudahuvadhoo,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
282,whangarei,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
283,shevchenkove,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
284,minas de marcona,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
285,margate,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
286,benguela,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
287,kingston,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
288,biarritz,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
289,lebu,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
290,natal,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
291,el fasher,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
292,parambu,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
293,ketchikan,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
294,happy valley-goose bay,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
295,gampaha,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
296,labrador city,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
297,vallenar,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
298,peniche,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
299,scarborough,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
300,inarajan village,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
301,conduaga,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
302,katabu,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
303,ust-tsilma,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
304,djibouti,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
305,cannonvale,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
306,jackson,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
307,quellon,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
308,mikuni,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
309,yurimaguas,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
310,arteche,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
311,orchard homes,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
312,tanjung pandan,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
313,hassi messaoud,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
314,rampur,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
315,karratha,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
316,urengoy,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
317,abra pampa,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
318,bria,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
319,devinuwara,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
320,dunedin,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
321,lesogorsk,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
322,bridlington,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
323,papao,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
324,petrosino,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
325,masterton,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
326,santa marta,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
327,sakaraha,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
328,trindade,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
329,mana,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
330,greeley,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
331,mount gambier,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
332,broken hill,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
333,sampit,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
334,coquimbo,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
335,ankang,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
336,gulf shores,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
337,maragogi,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
338,kankanhalli,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
339,lihue,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
340,cabo san lucas,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
341,yaren,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
342,tindouf,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
343,zhuanghe,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
344,walvis bay,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
345,slavutych,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
346,bastia,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
347,zhezqazghan,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
348,ytrebygda,13.2736,144.7484,26.54,97,100,4.36,GU,1693475282
